xplot ytrue Bspline_fit Pspline_fit SCP_spline_fit
-0.041141141141141147 0.0 -0.1655745021568149 -0.07367071198297737 -0.017780171704617043
-0.040940940940940945 0.0 -0.17968318033576863 -0.08301874260357178 -0.01778548954195421
-0.040740740740740744 0.0 -0.1857958426530738 -0.09141436912182381 -0.01779068747524662
-0.04054054054054054 0.0 -0.18238164452717898 -0.09871831917646938 -0.017795749908409868
-0.04034034034034034 0.0 -0.16790974137653258 -0.10479132040624434 -0.017800661245359548
-0.04014014014014014 0.0 -0.14087750749340103 -0.10949665710856503 -0.017805406053481063
-0.039939939939939946 0.0 -0.10151810946093806 -0.11285487812855532 -0.017809978955473725
-0.039739739739739745 0.0 -0.05278001230209978 -0.11513254111277846 -0.017814390303556076
-0.039539539539539544 0.0 0.002151819685795281 -0.11661763078269008 -0.01781865181996911
-0.03933933933933934 0.0 0.06009242220542976 -0.11759813185974596 -0.017822775226953837
-0.03913913913913914 0.0 0.11785683095948643 -0.11836202906540196 -0.017826772246751256
-0.03893893893893894 0.0 0.17226008165064782 -0.11919730712111382 -0.017830654601602366
-0.03873873873873874 0.0 0.2201172099815966 -0.12039195074833738 -0.017834434013748172
-0.038538538538538544 0.0 0.2582432516550144 -0.12223394466852831 -0.017838122205429678
-0.03833833833833834 0.0 0.2834532423735865 -0.12501127360314257 -0.01784173089888788
-0.03813813813813814 0.0 0.29256224870291475 -0.12901191900911896 -0.017845271816240807
-0.03793793793793794 0.0 0.28352828489198334 -0.1344029673663733 -0.017848752124875245
-0.03773773773773774 0.0 0.25847647102014076 -0.14091073068111698 -0.01785216238595253
-0.03753753753753754 0.0 0.2204813437623812 -0.14816109668014352 -0.01785548937713853
-0.03733733733733734 0.0 0.17261743979369876 -0.15577995309024634 -0.017858719876099084
-0.037137137137137136 0.0 0.11795929578908754 -0.163393187638219 -0.01786184066050004
-0.036936936936936934 0.0 0.05958144842354163 -0.17062668805085499 -0.017864838508007262
-0.03673673673673673 0.0 0.0005584343720552165 -0.17710634205494777 -0.01786770019628659
-0.036536536536536546 0.0 -0.05603520969037393 -0.18245803737729058 -0.017870412503003884
-0.036336336336336345 0.0 -0.10712494708875969 -0.1863076617446776 -0.01787296220582499
-0.03613613613613614 0.0 -0.14963624114810378 -0.18828110288390199 -0.017875336082415767
-0.03593593593593594 0.0 -0.18078637472685344 -0.18803972790097317 -0.01787736892149188
