H	mur
0.472	2415.9705863019542289
0.473	2411.3127667330123884
0.474	2406.6737394078910983
0.475	2402.0533891015400004
0.476	2397.4516015360210619
0.477	2392.8682633707541976
0.478	2388.3032621928835546
0.479	2383.7564865077627131
0.48	2379.2278257295570934
0.481	2374.7171701719618832
0.482	2370.2244110390338289
0.483	2365.7494404161352642
0.484	2361.2921512609887645
0.485	2356.8524373948408611
0.486	2352.4301934937332581
0.487	2348.025315079880023
0.488	2343.6376985131492573
0.489	2339.2672409826477645
0.49	2334.9138404984072678
0.491	2330.5773958831707356
0.492	2326.2578067642774288
0.493	2321.9549735656452638
0.494	2317.6687974998491428
0.495	2313.3991805602939112
0.496	2309.1460255134806134
0.497	2304.9092358913647586
0.498	2300.6887159838053193
0.499	2296.4843708311031997
0.5	2292.296106216627937
0.501	2288.1238286595314287
0.502	2283.9674454075474738
0.503	2279.8268644298759577
0.504	2275.7019944101505167
0.505	2271.592744739488536
0.506	2267.4990255096223677
0.507	2263.4207475061106462
0.508	2259.3578222016286192
0.509	2255.3101617493364266
0.51	2251.2776789763242578
0.511	2247.2602873771333585
0.512	2243.2579011073518545
0.513	2239.2704349772843938
0.514	2235.2978044456946036
0.515	2231.3399256136193949
0.516	2227.3967152182541434
0.517	2223.4680906269078029
0.518	2219.5539698310270239
0.519	2215.654271440288345
0.52	2211.7689146767575614
0.521	2207.8978193691153824
0.522	2204.0409059469484879
0.523	2200.1980954351051316
0.524	2196.3693094481144301
0.525	2192.5544701846685086
0.526	2188.753500422166668
0.527	2184.9663235113207645
0.528	2181.192863370821003
0.529	2177.4330444820613455
0.53	2173.6867918839237706
0.531	2169.9540311676206022
0.532	2166.2346884715941686
0.533	2162.5286904764730354
0.534	2158.8359644000840861
0.535	2155.1564379925197329
0.536	2151.4900395312595331
0.537	2147.8366978163455295
0.538	2144.1963421656106047
0.539	2140.568902409959184
0.54	2136.9543088886996154
0.541	2133.3524924449275533
0.542	2129.7633844209597142
0.543	2126.1869166538173493
0.544	2122.6230214707588065
0.545	2119.0716316848605606
0.546	2115.5326805906460982
0.547	2112.0061019597620491
0.548	2108.4918300367009701
0.549	2104.9897995345701956
0.55	2101.4999456309061745
0.551	2098.0222039635337217
0.552	2094.5565106264696212
0.553	2091.1028021658700311
0.554	2087.6610155760211389
0.555	2084.231088295372531
0.556	2080.8129582026127434
0.557	2077.4065636127864699
0.558	2074.0118432734529196
0.559	2070.6287363608847995
0.56	2067.2571824763074349
0.561	2063.897121642177528
0.562	2060.5484942985010636
0.563	2057.211241299189886
0.564	2053.8853039084564726
0.565	2050.5706237972464347
0.566	2047.2671430397082855
0.567	2043.9748041097000206
0.568	2040.6935498773320669
0.569	2037.4233236055461529
0.57	2034.1640689467296628
0.571	2030.9157299393650556
0.572	2027.6782510047139153
0.573	2024.4515769435352168
0.574	2021.2356529328373949
0.575	2018.0304245226638186
0.576	2014.8358376329112537
0.577	2011.6518385501809294
0.578	2008.4783739246618251
0.579	2005.3153907670457738
0.58	2002.1628364454740166
0.581	1999.0206586825148372
0.582	1995.8888055521718933
0.583	1992.7672254769228918
0.584	1989.6558672247882483
0.585	1986.5546799064293699
0.586	1983.463612972276217
0.587	1980.3826162096838002
0.588	1977.3116397401172675
0.589	1974.25063401636525
0.59	1971.1995498197811334
0.591	1968.1583382575519306
0.592	1965.1269507599944303
0.593	1962.1053390778783039
0.594	1959.0934552797758604
0.595	1956.0912517494381363
0.596	1953.0986811831970162
0.597	1950.1156965873930813
0.598	1947.1422512758288911
0.599	1944.1782988672474053
0.60	1941.2237932828352489
0.61	1912.1883867989949131
0.62	1884.0491295335312689
0.63	1856.7645673953069374
0.64	1830.2957820684563612
0.65	1804.6061992463155226
0.66	1779.6614140551759088
0.67	1755.4290318932495687
0.68	1731.8785231168553673
0.69	1708.9810901857544075
0.70	1686.7095460365591142
0.71	1665.038202590417622
0.72	1643.9427684214494555
0.73	1623.4002547179900234
0.74	1603.3888887615595792
0.75	1583.8880342302895284
0.76	1564.8781177057561312
0.77	1546.3405608260253425
0.78	1528.2577175842661537
0.79	1510.6128163224598273
0.8	1493.3899060143102449
0.81	1476.5738064711309119
0.82	1460.1500621398405711
0.83	1444.1048991937572725
0.84	1428.4251856450886606
0.85	1413.0983942332649984
0.86	1398.1125678658923135
0.87	1383.456287409414428
0.88	1369.1186416448259467
0.89	1355.0891992202028067
0.9	1341.3579824466143144
0.91	1327.9154427973279901
0.92	1314.752437982272323
0.93	1301.8602104806206478
0.94	1289.2303674242237397
0.95	1276.8548617335572178
0.96	1264.7259744159582032
0.97	1252.8362979432886697
0.98	1241.1787206328560195
0.99	1229.7464119615117345
1	1218.5328087483962176
1.01	1207.5316021468555124
1.02	1196.7367253906710749
1.03	1186.1423422439597029
1.04	1175.7428361079552338
1.05	1165.5327997414108407
1.06	1155.5070255545912495
1.07	1145.6604964397855621
1.08	1135.9883771039882077
1.09	1126.4860058718901937
1.1	1117.1488869296152466
1.11	1107.9726829817437441
1.12	1098.953208296107804
1.13	1090.0864221126282631
1.14	1081.3684223941118524
1.15	1072.7954398984467374
1.16	1064.3638325530376049
1.17	1056.0700801136176179
1.18	1047.9107790907727341
1.19	1039.8826379286223176
1.2	1031.9824724211260371
1.21	1024.2072013524375117
1.22	1016.5538423486061798
1.23	1009.0195079287460143
1.24	1001.6014017445481072
1.25	994.2968149977184586
1.26	987.10312302557677367
1.27	980.01778204566060392
1.28	973.0383260507453196
1.29	966.1623638462174048
1.3	959.3875762222294618
1.31	952.71171325352276431
1.32	946.13259172022978262
1.33	939.64809264336707829
1.34	933.25615892910046571
1.35	926.95479311621130676
1.36	920.74205522151703222
1.37	914.61606067830209739
1.38	908.57497836309913335
1.39	902.61702870642540444
1.4	896.74048188332814461
1.41	890.94365607982509495
1.42	885.22491583154469805
1.43	879.58267043107495261
1.44	874.01537240072179394
1.45	868.52151602755795462
1.46	863.09963595781233776
1.47	857.74830584780876642
1.48	852.46613706881222593
1.49	847.2517774632810627
1.5	842.1039101501555736
1.51	837.02125237693763598
1.52	832.00255441643293211
1.53	827.04659850613742361
1.54	822.15219782835346851
1.55	817.31819552921872067
1.56	812.54346377492314349
1.57	807.82690284347639998
1.58	803.16744025046991962
1.59	798.56402990735538334
1.6	794.01565131083448756
1.61	789.52130876202391748
1.62	785.08003061412474039
1.63	780.69086854738712532
1.64	776.35289687021964843
1.65	772.06521184534763429
1.66	767.82693103997722244
1.67	763.63719269897128671
1.68	759.49515514009015542
1.69	755.39999617039443469
1.7	751.35091252294925687
1.71	747.34711931300911542
1.72	743.38784951290021048
1.73	739.47235344485306043
1.74	735.59989829107211437
1.75	731.76976762036136343
1.76	727.98126093065556839
1.77	724.23369320683580267
1.78	720.52639449323563322
1.79	716.85870948027050956
1.8	713.22999710464788148
1.81	709.63963016263928565
1.82	706.08699493591819516
1.83	702.57149082948889244
1.84	699.09253002125203564
1.85	695.64953712277203674
1.86	692.24194885082985916
1.87	688.86921370936247762
1.88	685.53079168140702028
1.89	682.22615393068361346
1.9	678.95478251246618845
1.91	675.71617009340504873
1.92	672.50981967997884932
1.93	669.33524435526685621
1.94	666.1919670237449728
1.95	663.0795201638210449
1.96	659.99744558783644746
1.97	656.94529420927192373
1.98	653.92262581690611751
1.99	650.92900885568524658
2	647.96402021407192156
2.01	645.02724501765024993
2.02	642.11827642877309473
2.03	639.23671545204570676
2.04	636.38217074544793248
2.05	633.55425843690483214
2.06	630.7526019461228541
2.07	627.97683181151569655
2.08	625.2265855220506821
2.09	622.50150735385287645
2.1	619.80124821141031514
2.11	617.12546547322957864
2.12	614.47382284179658262
2.13	611.84599019770284307
2.14	609.2416434578026433
2.15	606.66046443727148509
2.16	604.10214071544095159
2.17	601.56636550528966697
2.18	599.05283752647440387
2.19	596.56126088178957938
2.2	594.09134493694740312
2.21	591.64280420357479296
2.22	589.21535822532688532
2.23	586.80873146702051409
2.24	584.42265320669445281
2.25	582.05685743050648521
2.26	579.71108273038052834
2.27	577.38507220432004684
2.28	575.0785733593069137
2.29	572.7913380167076608
2.3	570.52312222011174895
2.31	568.27368614552907343
2.32	566.04279401387639749
2.33	563.83021400568479911
2.34	561.63571817796251075
2.35	559.45908238314974245
2.36	557.30008619010420518
2.37	555.15851280705809603
2.38	553.03414900648927822
2.39	550.92678505185128626
2.4	548.83621462610860662
2.41	546.76223476202545247
2.42	544.70464577415793191
2.43	542.66325119250115409
2.44	540.63785769774437678
2.45	538.62827505808882358
2.46	536.63431606758425173
2.47	534.65579648594176265
2.48	532.69253497978170224
2.49	530.74435306527680495
2.5	528.81107505215199968
2.51	526.89252798900350814
2.52	524.98854160990104513
2.53	523.09894828223805432
2.54	521.22358295579601654
2.55	519.36228311298990828
2.56	517.51488872026291963
2.57	515.68124218059951196
2.58	513.8611882871268487
2.59	512.05457417777555009
2.6	510.26124929097160168
2.61	508.48106532233210488
2.62	506.71387618233838155
2.63	504.9595379549607402
2.64	503.21790885720998337
2.65	501.48884919959147972
2.66	499.77222134743834219
2.67	498.06788968310094994
2.68	496.37572056897072462
2.69	494.69558231131672009
2.7	493.02734512491421255
2.71	491.37088109844508866
2.72	489.72606416065041336
2.73	488.0927700472161312
2.74	486.47087626837340206
2.75	484.86026207719560595
2.76	483.26080843857456824
2.77	481.67239799885905097
2.78	480.09491505613904328
2.79	478.52824553115984685
2.8	476.97227693885040823
2.81	475.42689836045078549
2.82	473.89200041622405978
2.83	472.3674752387384179
2.84	470.85321644670552273
2.85	469.34911911936168114
